Generate image by text,Generate image by drawing
huggingface.co/spaces/AP123/SDXL-Lightning,huggingface.co/spaces/ilumine-AI/LCM-Painter
huggingface.co/spaces/google/sdxl,huggingface.co/spaces/huggingface-projects/diffuse-the-rest
huggingface.co/spaces/multimodalart/stable-cascade,huggingface.co/spaces/TencentARC/T2I-Adapter-SDXL-Sketch
Generate logo (image with text ),Generate/optimize prompt
huggingface.co/spaces/modelscope/AnyText,huggingface.co/spaces/daspartho/prompt-extend
Edit by text ,huggingface.co/spaces/microsoft/Promptist
huggingface.co/spaces/tsujuifu/ml-mgie,Remove background
huggingface.co/spaces/editing-images/ledits,huggingface.co/spaces/Xenova/remove-background-web
huggingface.co/spaces/runwayml/stable-diffusion-inpainting,Swape face
huggingface.co/spaces/timbrooks/instruct-pix2pix,huggingface.co/spaces/Tzktz/Swap-Face-Model
Compare two images,Enhance 
huggingface.co/spaces/Realcat/image-matching-webui,huggingface.co/spaces/fffiloni/PASD
Mix images,huggingface.co/spaces/doevent/Face-Real-ESRGAN
huggingface.co/spaces/lambdalabs/image-mixer-demo,Image to video
huggingface.co/spaces/NagaSaiAbhinay/UnCLIP_Image_Interpolation_Demo,huggingface.co/spaces/Vchitect/SEINE
Replace background,Image to 3D
huggingface.co/spaces/Shopify/background-replacement,huggingface.co/spaces/jiawei011/dreamgaussian
